"",BBK01.WZ8587,BBK01.WZ8587_FLAGS
2005-04,1.973,
2005-05,1.796,
2005-06,1.599,
2005-07,1.655,
2005-08,1.727,
2005-09,1.472,
2005-10,1.622,
2005-11,1.904,
2005-12,1.805,
2006-01,1.618,
2006-02,1.832,
2006-03,2.002,
2006-04,2.241,
2006-05,2.400,
2006-06,2.245,
2006-07,2.373,
2006-08,2.289,
2006-09,2.142,
2006-10,2.099,
2006-11,2.041,
2006-12,2.064,
2007-01,2.347,
2007-02,2.454,
2007-03,2.296,
2007-04,2.466,
2007-05,2.542,
2007-06,2.915,
2007-07,2.921,
2007-08,2.654,
2007-09,2.422,
2007-10,2.681,
2007-11,2.435,
2007-12,2.540,
2008-01,2.356,
2008-02,2.215,
2008-03,2.043,
2008-04,2.149,
2008-05,2.283,
2008-06,2.692,
2008-07,2.581,
2008-08,2.405,
2008-09,2.263,
2008-10,2.144,
2008-11,1.871,
2008-12,1.461,
2009-01,1.351,
2009-02,1.616,
2009-03,1.384,
2009-04,1.678,
2009-05,1.852,
2009-06,2.109,
2009-07,1.741,
2009-08,1.896,
2009-09,1.719,
2009-10,1.551,
2009-11,1.662,
2009-12,1.493,
2010-01,1.689,
2010-02,1.564,
2010-03,1.530,
2010-04,1.598,
2010-05,1.368,
2010-06,1.035,
2010-07,1.050,
2010-08,0.889,
2010-09,0.763,
2010-10,0.633,
2010-11,0.773,
2010-12,1.295,
2011-01,1.253,
2011-02,1.545,
2011-03,1.453,
2011-04,1.602,
2011-05,1.284,
2011-06,1.148,
2011-07,0.874,
2011-08,0.482,
2011-09,-0.017,
2011-10,0.252,
2011-11,-0.064,
2011-12,0.194,
2012-01,0.027,
2012-02,0.128,
2012-03,0.008,
2012-04,-0.234,
2012-05,-0.489,
2012-06,-0.539,
2012-07,-0.677,
2012-08,-0.538,
2012-09,-0.431,
2012-10,-0.605,
2012-11,-0.743,
2012-12,-0.763,
2013-01,-0.532,
2013-02,-0.682,
2013-03,-0.578,
2013-04,-0.696,
2013-05,-0.636,
2013-06,-0.406,
2013-07,-0.362,
2013-08,-0.222,
2013-09,0.030,
2013-10,-0.055,
2013-11,-0.155,
2013-12,-0.065,
2014-01,-0.020,
2014-02,-0.223,
2014-03,-0.307,
2014-04,-0.362,
2014-05,-0.479,
2014-06,-0.506,
2014-07,-0.616,
2014-08,-0.767,
2014-09,-0.587,
2014-10,-0.934,
2014-11,-0.987,
2014-12,-1.098,
2015-01,-1.185,
2015-02,-1.302,
2015-03,-1.421,
2015-04,-1.494,
2015-05,-1.001,
2015-06,-0.772,
2015-07,-0.964,
2015-08,-1.167,
2015-09,-1.123,
2015-10,-1.121,
2015-11,-1.107,
2015-12,-1.120,
2016-01,-1.095,
2016-02,-1.393,
2016-03,-1.352,
2016-04,-1.439,
2016-05,-1.492,
2016-06,-1.625,
2016-07,-1.739,
2016-08,-1.749,
2016-09,-1.654,
2016-10,-1.615,
2016-11,-1.419,
2016-12,-1.335,
2017-01,-1.370,
2017-02,-1.357,
2017-03,-1.267,
2017-04,-1.572,
2017-05,-1.344,
2017-06,-1.512,
2017-07,-1.243,
2017-08,-1.405,
2017-09,-1.442,
2017-10,-1.274,
2017-11,-1.335,
2017-12,-1.388,
2018-01,-1.304,
2018-02,-1.085,
2018-03,-1.229,
2018-04,-1.271,
2018-05,-1.210,
2018-06,-1.340,
2018-07,-1.473,
2018-08,-1.469,
2018-09,-1.386,
2018-10,-1.277,
2018-11,-1.414,
2018-12,-1.541,
2019-01,-1.470,
2019-02,-1.577,
2019-03,-1.607,
2019-04,-1.642,
2019-05,-1.707,
2019-06,-1.895,
2019-07,-1.858,
2019-08,-2.208,
2019-09,-2.122,
2019-10,-2.152,
2019-11,-1.945,
2019-12,-1.944,
2020-01,-1.842,
2020-02,-2.038,
2020-03,-2.331,
2020-04,-1.883,
2020-05,-1.843,
2020-06,-1.934,
2020-07,-2.132,
2020-08,-2.143,
2020-09,-2.182,
2020-10,-2.270,
2020-11,-2.234,
2020-12,-2.349,
2021-01,-2.298,
2021-02,-2.243,
2021-03,-2.150,
2021-04,-2.021,
2021-05,-1.877,Corrected value
2021-06,-2.012,
2021-07,-2.100,
2021-08,-2.257,
2021-09,-2.163,
2021-10,-2.115,
2021-11,-2.231,
2021-12,-2.335,
2022-01,-2.053,
2022-02,-1.817,
2022-03,-1.971,
2022-04,-1.562,
2022-05,-1.468,
2022-06,-0.914,
2022-07,-1.294,
2022-08,-1.566,
2022-09,-0.947,
2022-10,-0.465,
2022-11,-0.541,
2022-12,-0.715,
2023-01,-0.347,
2023-02,-0.131,
2023-03,-0.002,
