"",BBK01.WZ8587,BBK01.WZ8587_FLAGS
"",Expected real interest rates Germany of German Government Bonds with 10 years maturity,
BBK_COMM_GEN_ENG,Based on the average yield to maturity of German Government Bonds (10 years maturity) and weighted inflation rates (Consensus Forecast),
BBK_DECIMALS,3,
TIME_FORMAT,P1M,
unit,%,
unit multiplier,One,
last update,2023-04-03 14:49:09,
1989-10,4.167,
1989-11,4.446,
1989-12,4.370,
1990-01,4.609,
1990-02,5.562,
1990-03,5.894,
1990-04,5.531,
1990-05,5.394,
1990-06,5.700,
1990-07,5.539,
1990-08,5.689,
1990-09,5.797,
1990-10,5.926,
1990-11,5.898,
1990-12,5.615,
1991-01,5.857,
1991-02,5.312,
1991-03,5.219,
1991-04,5.127,
1991-05,5.199,
1991-06,5.153,
1991-07,5.558,
1991-08,5.586,
1991-09,5.465,
1991-10,4.792,
1991-11,4.755,
1991-12,4.736,
1992-01,4.552,
1992-02,4.203,
1992-03,4.271,
1992-04,4.604,
1992-05,4.624,
1992-06,4.644,
1992-07,4.877,
1992-08,4.930,
1992-09,4.716,
1992-10,4.280,
1992-11,4.093,
1992-12,4.150,
1993-01,3.681,
1993-02,3.587,
1993-03,3.099,
1993-04,3.441,
1993-05,3.684,
1993-06,3.749,
1993-07,3.516,
1993-08,3.533,
1993-09,3.172,
1993-10,3.207,
1993-11,3.179,
1993-12,3.152,
1994-01,2.847,
1994-02,2.867,
1994-03,2.886,
1994-04,3.601,
1994-05,4.146,
1994-06,4.378,
1994-07,4.078,
1994-08,4.320,
1994-09,4.864,
1994-10,4.855,
1994-11,4.861,
1994-12,4.845,
1995-01,4.883,
1995-02,4.663,
1995-03,4.606,
1995-04,4.525,
1995-05,4.305,
1995-06,4.151,
1995-07,4.167,
1995-08,4.167,
1995-09,3.990,
1995-10,4.038,
1995-11,3.843,
1995-12,3.586,
1996-01,3.452,
1996-02,3.658,
1996-03,4.086,
1996-04,4.263,
1996-05,4.295,
1996-06,4.398,
1996-07,4.377,
1996-08,4.117,
1996-09,4.125,
1996-10,3.827,
1996-11,3.692,
1996-12,3.692,
1997-01,3.676,
1997-02,3.409,
1997-03,3.507,
1997-04,3.697,
1997-05,3.508,
1997-06,3.562,
1997-07,3.359,
1997-08,3.461,
1997-09,3.406,
1997-10,3.237,
1997-11,3.304,
1997-12,3.072,
1998-01,2.749,
1998-02,2.743,
1998-03,2.642,
1998-04,2.727,
1998-05,2.903,
1998-06,2.702,
1998-07,2.581,
1998-08,2.415,
1998-09,1.976,
1998-10,2.222,
1998-11,2.266,
1998-12,1.888,
1999-01,1.843,
1999-02,1.952,
1999-03,2.205,
1999-04,1.998,
1999-05,2.234,
1999-06,2.472,
1999-07,2.882,
1999-08,3.126,
1999-09,3.228,
1999-10,3.527,
1999-11,3.154,
1999-12,3.238,
2000-01,3.720,
2000-02,3.757,
2000-03,3.545,
2000-04,3.513,
2000-05,3.707,
2000-06,3.490,
2000-07,3.592,
2000-08,3.479,
2000-09,3.586,
2000-10,3.453,
2000-11,3.475,
2000-12,3.211,
2001-01,3.071,
2001-02,3.067,
2001-03,2.982,
2001-04,2.837,
2001-05,3.034,
2001-06,3.074,
2001-07,3.104,
2001-08,2.861,
2001-09,2.885,
2001-10,2.831,
2001-11,2.595,
2001-12,2.970,
2002-01,3.070,
2002-02,3.168,
2002-03,3.378,
2002-04,3.261,
2002-05,3.304,
2002-06,3.175,
2002-07,3.039,
2002-08,2.638,
2002-09,2.590,
2002-10,2.611,
2002-11,2.641,
2002-12,2.590,
2003-01,2.550,
2003-02,2.267,
2003-03,2.147,
2003-04,2.628,
2003-05,2.331,
2003-06,2.035,
2003-07,2.404,
2003-08,2.585,
2003-09,2.694,
2003-10,2.706,
2003-11,2.881,
2003-12,2.757,
2004-01,2.606,
2004-02,2.584,
2004-03,2.362,
2004-04,2.643,
2004-05,2.808,
2004-06,2.875,
2004-07,2.710,
2004-08,2.549,
2004-09,2.528,
2004-10,2.335,
2004-11,2.241,
2004-12,2.043,
2005-01,2.073,
2005-02,1.938,
2005-03,2.228,
